Breed,Age (years),Weight (kg),Gender,Spayed/Neutered,Vaccination Status,Fever,Eating Normally,Lethargy,Vomiting,Coughing/Sneezing,Breathing Issue,Rash/Swelling,Wounds/Cuts,Hair Loss,Excessive Scratching,Red/Watery Eyes,Eye Discharge,Ear Odor,Shakes Head,Eating Less,Excessive Drinking,Abnormal Stools,Aggressive/Irritable,Avoiding Interaction,Pacing/Whining,Pain Symptoms,Food Changes,Exposure to Sick Dogs,Predicted Sickness
Saint Bernard,3,46.6,Female,Yes,Up to date,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Gastrointestinal Infection
Great Dane,5,55.3,Male,No,Not up to date,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Respiratory Infection
Doberman Pinscher,13,55.5,Male,No,Up to date,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Respiratory Infection
Belgian Malinois,0,50.6,Female,No,Up to date,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Skin Allergy
Great Pyrenees,8,50.0,Female,No,Up to date,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Skin Allergy
Mastiff,6,58.0,Male,No,Up to date,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Ear Infection
Yorkshire Terrier,8,2.6,Male,No,Not up to date,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Gastrointestinal Infection
Staffordshire Bull Terrier,3,18.9,Female,No,Up to date,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Respiratory Infection
Shetland Sheepdog,15,17.1,Male,No,Up to date,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Gastrointestinal Infection
Siberian Husky,9,31.1,Female,No,Up to date,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Ear Infection
Akita,11,34.3,Female,Yes,Not up to date,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Healthy
Siberian Husky,2,30.8,Male,Yes,Up to date,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Gastrointestinal Infection
Great Pyrenees,5,32.7,Male,Yes,Up to date,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Gastrointestinal Infection
Beagle,5,14.0,Male,No,Not up to date,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Healthy
Akita,1,48.9,Female,No,Up to date,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Gastrointestinal Infection
Yorkshire Terrier,5,3.2,Male,Yes,Up to date,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Gastrointestinal Infection
Rottweiler,11,47.3,Female,No,Not up to date,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Gastrointestinal Infection
Rottweiler,5,34.7,Female,Yes,Not up to date,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Respiratory Infection
Shih Tzu,8,5.2,Female,Yes,Not up to date,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Gastrointestinal Infection
Dachshund,11,3.2,Female,Yes,Up to date,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Respiratory Infection
Border Collie,2,11.3,Male,Yes,Up to date,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Ear Infection
Great Pyrenees,10,44.4,Male,No,Not up to date,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Gastrointestinal Infection
Toy Poodle,11,6.4,Male,No,Up to date,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Healthy
Rottweiler,2,39.6,Male,Yes,Not up to date,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Gastrointestinal Infection
Staffordshire Bull Terrier,14,22.9,Female,No,Not up to date,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Heart Disease
Saint Bernard,8,57.8,Female,No,Up to date,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Gastrointestinal Infection
Great Dane,5,29.5,Female,Yes,Up to date,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Gastrointestinal Infection
Great Pyrenees,9,53.6,Female,Yes,Not up to date,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Parvovirus
Australian Shepherd,2,9.4,Female,Yes,Not up to date,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Skin Allergy
Belgian Malinois,8,42.2,Female,Yes,Up to date,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Gastrointestinal Infection
Great Dane,14,32.1,Male,No,Not up to date,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Skin Allergy
Cocker Spaniel,13,19.2,Male,Yes,Up to date,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Skin Allergy
Chihuahua,10,6.1,Male,Yes,Not up to date,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Skin Allergy
Staffordshire Bull Terrier,0,24.5,Female,Yes,Not up to date,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Arthritis
Toy Poodle,3,5.1,Female,No,Up to date,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Skin Allergy
Rottweiler,12,38.3,Male,No,Not up to date,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Gastrointestinal Infection
Corgi,6,18.8,Male,No,Up to date,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Gastrointestinal Infection
Australian Shepherd,3,20.8,Female,No,Up to date,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Ear Infection
Yorkshire Terrier,8,3.7,Female,No,Not up to date,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Skin Allergy
Doberman Pinscher,0,40.9,Male,No,Up to date,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Gastrointestinal Infection
Beagle,13,17.1,Male,No,Not up to date,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Respiratory Infection
Shetland Sheepdog,3,21.8,Male,No,Not up to date,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Ear Infection
Great Pyrenees,7,58.8,Male,Yes,Up to date,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Parvovirus
Great Pyrenees,14,31.7,Male,Yes,Up to date,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Gastrointestinal Infection
Mastiff,8,28.7,Male,No,Up to date,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Kennel Cough
Irish Wolfhound,6,49.3,Male,Yes,Not up to date,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Respiratory Infection
Akita,13,47.5,Male,No,Up to date,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Ear Infection
Chihuahua,12,6.8,Male,Yes,Not up to date,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Gastrointestinal Infection
Great Dane,1,54.1,Male,No,Up to date,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Gastrointestinal Infection
Boxer,5,36.0,Female,Yes,Up to date,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Parvovirus
Saint Bernard,14,58.7,Male,No,Not up to date,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Skin Allergy
Rottweiler,11,36.2,Male,Yes,Up to date,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Gastrointestinal Infection
Chihuahua,0,3.8,Male,Yes,Not up to date,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Ear Infection
